constituency,winning_name,winning_party,margin
Falakata,ANIL ADHIKARI,All India Trinamool Congress,16839
Falta,TAMONASH GHOSH,All India Trinamool Congress,23580
Farakka,MAINUL HAQUE,Indian National Congress,28167
Gaighata,PULIN BIHARI RAY,All India Trinamool Congress,29572
Galsi,ALOK KUMAR MAJHI,All India Trinamool Congress,10771
Gangarampur,GOUTAM DAS,Indian National Congress,10733
Garbeta,ASHIS CHAKRABORTY (NANTI),All India Trinamool Congress,61157
Gazole,DIPALI BISWAS,Communist Party of India  (Marxist),20602
Ghatal,SHANKAR DOLAI,All India Trinamool Congress,19479
Goalpokhar,MD GULAM RABBANI,All India Trinamool Congress,7748
Goghat,MANAS MAJUMDAR,All India Trinamool Congress,30886
Gopiballavpur,CHURAMANI MAHATA,All India Trinamool Congress,49558
Gosaba,JAYANTA NASKAR,All India Trinamool Congress,19671
Habibpur,KHAGEN MURMU,Communist Party of India  (Marxist),2512
Habra,JYOTI PRIYA MALLICK,All India Trinamool Congress,45947
Haldia,TAPASI MONDAL,Communist Party of India  (Marxist),21493
Hansan,MILTAN RASID,Indian National Congress,16154
Hariharpara,NIAMOT SHEIKH,All India Trinamool Congress,5003
Haringhata,NILIMA NAG (MALLICK),All India Trinamool Congress,21349
Haripal,BECHARAM MANNA E,All India Trinamool Congress,31475
Harirampur,RAFIKUL ISLAM,Communist Party of India  (Marxist),4504
Harischandrapur,ALAM MOSTAQUE,Indian National Congress,17857
Haroa,ISLAM SK. NURUL (HAJI),All India Trinamool Congress,42407
Hemtabad,DEBENDRA NATH ROY,Communist Party of India  (Marxist),13136
Hingalganj,DEBES MANDAL,All India Trinamool Congress,30304
Howrah Dakshin,BRAJAMOHAN MAJUMDER,All India Trinamool Congress,16194
Howrah Madhya,ARUP ROY (APU),All India Trinamool Congress,52994
Howrah Uttar,LAXMI RATAN SHUKLA,All India Trinamool Congress,26959
Indus,GURUPADA METE,All India Trinamool Congress,18837
Islampur,KANAIA LAL AGARWAL,Indian National Congress,7718
Itahar,AMAL ACHARJEE,All India Trinamool Congress,19120
Jadavpur,SUJAN CHAKRABORTY,Communist Party of India  (Marxist),14942
Jagatballavpur,MD. ABDUL GHANI,All India Trinamool Congress,24681
Jagatdal,PARASH DUTTA,All India Trinamool Congress,27045
Jalangi,ABDUR RAZZAK,Communist Party of India  (Marxist),25267
Jalpaiguri,SUKHBILAS BARMA,Indian National Congress,5157
Jamalpur,SAMAR HAZRA,Communist Party of India  (Marxist),1423
Jamuria,JAHANARA KHAN,Communist Party of India  (Marxist),7757
Jangipara,SNEHASIS CHAKRABORTY,All India Trinamool Congress,23605
Jhargram,SUKUMAR HANSDA,All India Trinamool Congress,55228
Jorasanko,SMITA BAKSHI,All India Trinamool Congress,6290
Joynagar,BISWANATH DAS,All India Trinamool Congress,15051
Joypur,SHAKTIPADA MAHATO,All India Trinamool Congress,8763
Kakdwip,MANTURAM PAKHIRA,All India Trinamool Congress,24919
Kalchini,WILSON CHAMPRAMARY,All India Trinamool Congress,1511
Kaliaganj,PRAMATHA NATH RAY,Indian National Congress,46602
Kaliganj,HASANUZZAMAN SK,Indian National Congress,1227
Kalimpong,SARITA RAI,Gorkha Janmukti Morcha,11431
Kalna,KUNDU BISWAJIT,All India Trinamool Congress,25261
Kalyani,DR. RAMENDRA NATH BISWAS,All India Trinamool Congress,26095
Kamarhati,MANASH MUKHERJEE,Communist Party of India  (Marxist),4198
Kandi,APURBA SARKAR (DAVID),Indian National Congress,20780
Kanthi Dakshin,ADHIKARI DIBYENDU,All India Trinamool Congress,33890
Kanthi Uttar,BANASRI MAITY,All India Trinamool Congress,18576
Karandighi,MANODEB SINHA,All India Trinamool Congress,3232
Karimpur,MAHUA MOITRA,All India Trinamool Congress,15989
Kasba,AHMED JAVED KHAN-Ë&QUOT,All India Trinamool Congress,11884
Kashipur,SWAPAN KUMAR BELTHARIA,All India Trinamool Congress,19578
Kashipur-Belgachhia,MALA SAHA,All India Trinamool Congress,25810
Katulpur,SHYAMAL SANTRA,All India Trinamool Congress,21248
Katwa,RABINDRANATH CHATTERJEE,All India Trinamool Congress,911
Keshiary,PARESH MURMU,All India Trinamool Congress,40749
Keshpur,SEULI SAHA,All India Trinamool Congress,101151
Ketugram,SEKH SAHONAWEZ,All India Trinamool Congress,8729
Khanakul,IQBAL AHMED,All India Trinamool Congress,43487
Khandaghosh,NABIN CHANDRA BAG,All India Trinamool Congress,3202
Kharagpur,DINEN ROY,All India Trinamool Congress,19099
Kharagpur Sadar,DILIP KUMAR GHOSH,Bharatiya Janata Party,6309
Khardaha,AMIT MITRA,All India Trinamool Congress,21200
Khargram,ASHIS MARJIT,Indian National Congress,33173
Khejuri,RANAJIT MONDAL,All India Trinamool Congress,42485
Kolkata Port,FIRHAD HAKIM,All India Trinamool Congress,26548
Krishnaganj,SATYAJIT BISWAS,All India Trinamool Congress,43928
Krishnanagar Dakshin,UJJAL BISWAS,All India Trinamool Congress,12814
Krishnanagar Uttar,ABANI MOHAN JOARDAR,All India Trinamool Congress,12915
Kulpi,JOGARANJAN HALDER,All India Trinamool Congress,11455
Kultali,RAM SANKAR HALDER,Communist Party of India  (Marxist),11720
Kulti,UJJAL CHATTERJEE,All India Trinamool Congress,19488
Kumarganj,TORAF HOSSAIN MANDAL,All India Trinamool Congress,3496
Kumargram,JAMES KUJUR,All India Trinamool Congress,6153
Kurseong,ROHIT SHARMA,Gorkha Janmukti Morcha,33726
Kushmandi,NARMADA CHANDRA ROY,Revolutionary Socialist Party,3529
Labhpur,ISLAM MONIRUL,All India Trinamool Congress,30313
Lalgola,ABU HENA,Indian National Congress,53475
Madarihat,MANOJ TIGGA,Bharatiya Janata Party,22038
Madhyamgram,RATHIN GHOSH,All India Trinamool Congress,35804
Magrahat Paschim,GIAS UDDIN MOLLA,All India Trinamool Congress,15889
Magrahat Purba,NAMITA SAHA .,All India Trinamool Congress,9560
Maheshtala,KASTURI DAS,All India Trinamool Congress,12452
Mahishadal,DR.SUDARSAN GHOSH DASTIDAR,All India Trinamool Congress,16709
Mal,BULU CHIK BARAIK,All India Trinamool Congress,18462
Malatipur,ALBERUNI ZULKARNAIN,Indian National Congress,2600
Maldaha,BHUPENDRA NATH HALDER,Indian National Congress,33309
Manbazar,SANDHYA RANI TUDU,All India Trinamool Congress,9675
Mandirbazar,HALDER JOYDEB,All India Trinamool Congress,24939
Manikchak,MD. MOTTAKIN ALAM,Indian National Congress,12603
Maniktola,SADHAN PANDE,All India Trinamool Congress,25311
Mathabhanga,BINAY KRISHNA BARMAN,All India Trinamool Congress,31918
Matigara-Naxalbari,SANKAR MALAKAR,Indian National Congress,18627
Maynaguri,ANANTA DEB ADHIKARI,All India Trinamool Congress,34907
Mayureswar,ABHIJIT ROY,All India Trinamool Congress,38770
Medinipur,MRIGENDRA NATH MAITI,All India Trinamool Congress,32987
Mekliganj,ARGHYA ROY PRADHAN (BILU),All India Trinamool Congress,6637
Memari,BEGUM NARGIS,All India Trinamool Congress,8883
Metiaburuz,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,17976
Minakhan,USHA RANI MONDAL,All India Trinamool Congress,42598
Mongalkote,CHOWDHURY SIDDIQULLAH,All India Trinamool Congress,11874
Monteswar,SAJAL PANJA,All India Trinamool Congress,706
Mothabari,YEASMIN SABINA,Indian National Congress,38174
Moyna,SANGRAM KUMAR DOLAI,All India Trinamool Congress,12124
Murarai,ABDUR RAHAMAN (LITON),All India Trinamool Congress,280
Murshidabad,SHAONI SINGHA ROY,Indian National Congress,25139
Nabadwip,PUNDARIKAKSHYA SAHA,All India Trinamool Congress,35796
Nabagram,KANAI CHANDRA MONDAL,Communist Party of India  (Marxist),38443
Nagrakata,SUKRA MUNDA,All India Trinamool Congress,3228
Naihati,PARTHA BHOWMICK,All India Trinamool Congress,28628
Nakashipara,KALLOL KHAN,All India Trinamool Congress,6250
Nalhati,MOINUDDIN SHAMS,All India Trinamool Congress,10328
Nandakumar,SUKUMAR DE,All India Trinamool Congress,10866
Nandigram,ADHIKARI SUVENDU,All India Trinamool Congress,81230
Nanoor,SHYAMALI PRADHAN,Communist Party of India  (Marxist),25730
Naoda,ABU TAHER KHAN,Indian National Congress,19262
Narayangarh,PRODYUT KUMAR GHOSH,All India Trinamool Congress,13589
Natabari,RABINDRA NATH GHOSH,All India Trinamool Congress,16157
Nayagram,DULAL MURMU,All India Trinamool Congress,43255
Noapara,MADHUSUDAN GHOSE,Indian National Congress,1095
Onda,ARUP KUMAR KHAN,All India Trinamool Congress,10848
Palashipara,TAPAS KUMAR SAHA,All India Trinamool Congress,5559
Panchla,GULSAN MULLICK,All India Trinamool Congress,31927
Pandabeswar,KUMAR JITENDRA TEWARI,All India Trinamool Congress,5470
Pandua,AMJAD HOSSAIN SK.,Communist Party of India  (Marxist),1392
Panihati,NIRMAL GHOSH,All India Trinamool Congress,3030
Panskura Paschim,PHIROJA BIBI,All India Trinamool Congress,3145
Panskura Purba,SK IBRAHIM ALI,Communist Party of India  (Marxist),4767
Para,UMAPADA BAURI,All India Trinamool Congress,13878
Patashpur,JYOTIRMOY KAR,All India Trinamool Congress,29888
Patharpratima,SAMIR KUMAR JANA,All India Trinamool Congress,13793
Phansidewa,SUNIL CHANDRA TIRKEY,Indian National Congress,7074
Pingla,SAUMEN KUMAR MAHAPATRA,All India Trinamool Congress,24218
Purbasthali Dakshin,SWAPAN DEBNATH,All India Trinamool Congress,37666
Purbasthali Uttar,PRADIP KUMAR SAHA,Communist Party of India  (Marxist),2828
Pursurah,DR. M. NURUZZAMAN,All India Trinamool Congress,29127
Purulia,SUDIP KUMAR MUKHERJEE,Indian National Congress,4911
RaghunathGanj,AKHRUZZAMAN,Indian National Congress,23786
Raghunathpur,PURNA CHANDRA BAURI,All India Trinamool Congress,16142
Raidighi,DEBASREE ROY,All India Trinamool Congress,1229
Raiganj,MOHIT SENGUPTA,Indian National Congress,51247
Raina,NEPAL GHORUI,All India Trinamool Congress,448
Raipur,BIRENDRA NATH TUDU,All India Trinamool Congress,26722
Rajarhat  Gopalpur,PURNENDU BASU,All India Trinamool Congress,6874
Rajarhat New Town,SABYA SACHI DUTTA,All India Trinamool Congress,9193
Rajganj,KHAGESWAR ROY,All India Trinamool Congress,14677
Ramnagar,AKHIL GIRI,All India Trinamool Congress,28253
Rampurhat,ASISH BANERJEE,All India Trinamool Congress,21199
Ranaghat Dakshin,RAMA BISWAS,Communist Party of India  (Marxist),17253
Ranaghat Uttar Paschim,SANKAR SINGHA,Indian National Congress,23420
Ranaghat Uttar Purba,SAMIR KUMAR PODDAR,All India Trinamool Congress,14972
Ranibandh,JYOTSNA MANDI,All India Trinamool Congress,23313
Raniganj,RUNU DUTTA,Communist Party of India  (Marxist),12385
Raninagar,FIROZA BEGAM (E),Indian National Congress,48382
Rashbehari,SOBHANDEB CHATTOPADHYAY,All India Trinamool Congress,14553
Ratua,SAMAR MUKHERJEE,Indian National Congress,43275
Rejinagar,RABIUL ALAM CHOWDHURY,Indian National Congress,5560
Sabang,MANAS RANJAN BHUNIA,Indian National Congress,49167
Sagar,BANKIM CHANDRA HAZRA,All India Trinamool Congress,18071
Sagardighi,SUBRATA SAHA,All India Trinamool Congress,5214
Sainthia,NILABATI SAHA,All India Trinamool Congress,38611
Salboni,SRIKANTA MAHATA,All India Trinamool Congress,52902
Saltora,SWAPAN BOURI,All India Trinamool Congress,12523
Sandeshkhali,SUKUMAR MAHATA,All India Trinamool Congress,38190
Sankrail,SITAL KUMAR SARDAR,All India Trinamool Congress,14757
Santipur,ARINDAM BHATTACHARYA,Indian National Congress,19488
Saptagram,TAPAN DASGUPTA,All India Trinamool Congress,18567
Satgachhia,SONALI GUHA (BOSE),All India Trinamool Congress,17272
Shibpur,JATU LAHIRI,All India Trinamool Congress,27014
Shyampukur,SHASHI PANJA,All India Trinamool Congress,13155
Shyampur,KALIPADA MANDAL,All India Trinamool Congress,26586
Siliguri,ASOK BHATTACHARYA,Communist Party of India  (Marxist),14072
Singur,RABINDRANATH BHATTACHARYA    E,All India Trinamool Congress,20327
Sitai,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,25251
Sitalkuchi,HITEN BARMAN,All India Trinamool Congress,15483
Sonamukhi,AJIT RAY,Communist Party of India  (Marxist),8719
Sonarpur Dakshin,JIBAN MUKHOPADHYAY,All India Trinamool Congress,15029
Sonarpur Uttar,FIRDOUSI BEGUM,All India Trinamool Congress,24880
Sreerampur,DR. SUDIPTA ROY,All India Trinamool Congress,9907
Sujapur,ISHA KHAN CHOUDHURY,Indian National Congress,47080
Suri,ASOK KUMAR CHATTOPADHYAY,All India Trinamool Congress,31808
Suti,HUMAYUN REZA,Indian National Congress,3950
Swarupnagar,BINA MANDAL,All India Trinamool Congress,11941
Taldangra,SAMIR CHAKRABORTY,All India Trinamool Congress,13669
Tamluk,ASHOK DINDA,Communist Party of India,520
Tapan,BACHCHU HANSDA,All India Trinamool Congress,4401
Tarakeswar,RACHHPAL SINGH  E,All India Trinamool Congress,27690
Tehatta,DUTTA GOURI SANKAR,All India Trinamool Congress,17396
Tollyganj,AROOP BISWAS,All India Trinamool Congress,9896
Tufanganj,FAZAL KARIM MIAH,All India Trinamool Congress,15270
Udaynarayanpur,SAMIR KUMAR PANJA,All India Trinamool Congress,23758
Uluberia Dakshin,PULAK ROY,All India Trinamool Congress,35344
Uluberia Purba,HAIDER AZIZ SAFWI,All India Trinamool Congress,16269
Uluberia Uttar,DR. NIRMAL MAJI,All India Trinamool Congress,14182
Uttarpara,PRABIR KUMAR GHOSAL,All India Trinamool Congress,12000
